"Current_year_Rank","Game","Total_Earnings","Total_Players","Total_Tournaments","Year"
1,"Dota 2","$41,545,790.86","1177 Players","182 Tournaments",2018
2,"Counter-Strike: Global Offensive","$23,319,746.08","4686 Players","1024 Tournaments",2018
3,"Fortnite","$19,933,737.00","1444 Players","179 Tournaments",2018
4,"League of Legends","$14,706,162.44","1978 Players","196 Tournaments",2018
5,"PLAYERUNKNOWN’S BATTLEGROUNDS","$8,809,745.36","1683 Players","136 Tournaments",2018
6,"Arena of Valor","$7,076,330.62","662 Players","29 Tournaments",2018
7,"Overwatch","$6,615,546.33","1547 Players","120 Tournaments",2018
8,"Heroes of the Storm","$5,277,279.76","368 Players","34 Tournaments",2018
9,"Hearthstone","$4,757,534.75","882 Players","154 Tournaments",2018
10,"Call of Duty: WWII","$4,302,666.69","270 Players","51 Tournaments",2018
11,"StarCraft II","$3,980,177.66","353 Players","462 Tournaments",2018
12,"Rocket League","$2,548,272.86","678 Players","332 Tournaments",2018
13,"FIFA 18","$2,189,152.14","223 Players","40 Tournaments",2018
14,"CrossFire","$2,171,222.06","218 Players","30 Tournaments",2018
15,"Rainbow Six Siege","$2,047,522.85","689 Players","76 Tournaments",2018
16,"SMITE","$1,968,500.00","139 Players","11 Tournaments",2018
17,"Halo 5: Guardians","$1,938,750.00","107 Players","50 Tournaments",2018
18,"Street Fighter V: Arcade Edition","$1,407,978.67","140 Players","51 Tournaments",2018
19,"Shadowverse","$1,310,000.00","24 Players","1 Tournament",2018
20,"Gears of War 4","$1,040,000.00","98 Players","43 Tournaments",2018
21,"Paladins","$1,029,100.00","325 Players","22 Tournaments",2018
22,"NBA 2K18","$1,000,000.00","91 Players","4 Tournaments",2018
23,"Clash Royale","$986,262.37","148 Players","19 Tournaments",2018
24,"CrossFire Mobile","$851,827.88","81 Players","3 Tournaments",2018
25,"World of WarCraft","$740,000.00","124 Players","27 Tournaments",2018
26,"Rules Of Survival","$656,000.00","0 Players","4 Tournaments",2018
27,"Mobile Legends: Bang Bang","$653,205.23","306 Players","9 Tournaments",2018
28,"Quake Champions","$651,250.40","135 Players","154 Tournaments",2018
29,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$617,069.08","114 Players","6 Tournaments",2018
30,"FIFA 19","$551,731.35","130 Players","19 Tournaments",2018
31,"Attack on Titan Tribute Game","$494,250.00","64 Players","15 Tournaments",2018
32,"StarCraft: Remastered","$446,952.80","82 Players","37 Tournaments",2018
33,"Gwent","$441,568.19","53 Players","15 Tournaments",2018
34,"Madden NFL 18","$403,000.00","32 Players","1 Tournament",2018
35,"Super Smash Bros. Melee","$365,235.84","297 Players","114 Tournaments",2018
36,"Tekken 7","$351,455.91","127 Players","58 Tournaments",2018
37,"Call of Duty: Black Ops 4","$320,749.95","146 Players","37 Tournaments",2018
38,"Call of Duty: Blackout","$315,000.00","36 Players","6 Tournaments",2018
39,"FIFA Online 4","$304,933.49","55 Players","5 Tournaments",2018
40,"Point Blank","$302,552.77","101 Players","11 Tournaments",2018
41,"Brawlhalla","$297,604.70","196 Players","98 Tournaments",2018
42,"Super Smash Bros. for Wii U","$277,984.69","406 Players","190 Tournaments",2018
43,"Realm Royale","$263,000.00","47 Players","9 Tournaments",2018
44,"Forza Motorsport 7","$255,000.00","30 Players","4 Tournaments",2018
45,"Pro Evolution Soccer 2018","$250,000.00","20 Players","3 Tournaments",2018
46,"FIFA Online 3","$237,112.50","36 Players","1 Tournament",2018
47,"F1 2018","$200,000.00","21 Players","1 Tournament",2018
48,"Magic: The Gathering Online","$200,000.00","23 Players","1 Tournament",2018
49,"WarCraft III","$176,129.87","69 Players","117 Tournaments",2018
50,"Chess.com","$170,424.01","91 Players","15 Tournaments",2018
51,"Madden NFL 19","$165,000.00","16 Players","1 Tournament",2018
52,"Injustice 2","$160,648.23","37 Players","13 Tournaments",2018
53,"Zula","$160,000.00","27 Players","2 Tournaments",2018
54,"Old School Runescape","$156,500.00","20 Players","5 Tournaments",2018
55,"iRacing.com","$143,340.30","191 Players","18 Tournaments",2018
56,"Call of Duty Online","$137,860.80","0 Players","1 Tournament",2018
57,"Pokémon VGC","$135,500.00","109 Players","16 Tournaments",2018
58,"Guns of Boom","$133,950.00","4 Players","14 Tournaments",2018
59,"Dragon Ball FighterZ","$132,741.37","79 Players","30 Tournaments",2018
60,"Radical Heights","$120,000.00","12 Players","2 Tournaments",2018
61,"Blade & Soul","$116,912.09","24 Players","1 Tournament",2018
62,"Warface","$109,555.00","32 Players","2 Tournaments",2018
63,"NHL 18","$102,700.00","20 Players","6 Tournaments",2018
64,"Creative Destruction","$100,000.00","8 Players","1 Tournament",2018
65,"Team Fortress 2","$93,841.73","291 Players","21 Tournaments",2018
66,"Echo Arena","$82,692.56","16 Players","2 Tournaments",2018
67,"Heroes of Newerth","$82,195.00","26 Players","4 Tournaments",2018
68,"Battalion 1944","$78,576.62","53 Players","7 Tournaments",2018
69,"H1Z1","$75,000.00","20 Players","1 Tournament",2018
70,"Super Smash Bros. Ultimate","$74,587.45","271 Players","63 Tournaments",2018
71,"Age of Empires II","$70,965.03","131 Players","100 Tournaments",2018
72,"Onward","$60,000.00","21 Players","1 Tournament",2018
73,"Identity V","$55,489.27","0 Players","1 Tournament",2018
74,"Hand of the Gods","$50,000.00","13 Players","1 Tournament",2018
75,"Artifact Classic","$48,716.63","94 Players","31 Tournaments",2018
76,"Age of Empires","$42,993.93","82 Players","23 Tournaments",2018
77,"Critical Ops","$40,000.00","29 Players","1 Tournament",2018
78,"Summoners War: Sky Arena","$40,000.00","2 Players","1 Tournament",2018
79,"World of Tanks","$40,000.00","30 Players","2 Tournaments",2018
80,"Yu-Gi-Oh! Duel Links","$35,372.28","234 Players","133 Tournaments",2018
81,"Project Cars 2","$33,750.00","10 Players","2 Tournaments",2018
82,"World of Tanks Blitz","$33,330.00","0 Players","5 Tournaments",2018
83,"Killer Instinct (2013)","$32,770.00","14 Players","4 Tournaments",2018
84,"Guilty Gear Xrd REV 2","$31,757.64","48 Players","14 Tournaments",2018
85,"Mad Skills Motocross 2","$30,000.00","12 Players","1 Tournament",2018
86,"Battlerite","$28,750.00","29 Players","2 Tournaments",2018
87,"RaceRoom Racing Experience","$27,768.70","91 Players","5 Tournaments",2018
88,"TrackMania 2: Stadium","$26,329.28","82 Players","39 Tournaments",2018
89,"The Unspoken","$23,147.52","5 Players","2 Tournaments",2018
90,"King of Fighters XIV","$19,669.23","28 Players","7 Tournaments",2018
91,"BlazBlue: Cross Tag Battle","$19,463.33","38 Players","9 Tournaments",2018
92,"BlazBlue: Central Fiction","$16,723.06","40 Players","9 Tournaments",2018
93,"Lichess","$15,325.00","19 Players","10 Tournaments",2018
94,"Assetto Corsa","$15,000.00","8 Players","1 Tournament",2018
95,"ARMS","$13,073.14","73 Players","56 Tournaments",2018
96,"Project M","$13,056.56","77 Players","24 Tournaments",2018
97,"osu!","$12,197.00","116 Players","11 Tournaments",2018
98,"Sprint Vector","$11,750.00","8 Players","1 Tournament",2018
99,"Under Night In-Birth EXE: Late[st]","$11,646.27","39 Players","10 Tournaments",2018
100,"Super Smash Bros.","$10,747.76","58 Players","14 Tournaments",2018
101,"Battlefield 4","$10,275.45","38 Players","2 Tournaments",2018
102,"Gran Turismo Sport","$10,080.00","10 Players","1 Tournament",2018
103,"Magic: The Gathering Arena","$10,000.00","16 Players","1 Tournament",2018
104,"Soul Calibur VI","$9,891.00","19 Players","6 Tournaments",2018
105,"rFactor 2","$7,385.26","36 Players","5 Tournaments",2018
106,"StarCraft: Brood War","$6,613.98","16 Players","1 Tournament",2018
107,"Marvel vs. Capcom: Infinite","$5,952.12","28 Players","9 Tournaments",2018
108,"Archangel Hellfire","$5,500.00","14 Players","9 Tournaments",2018
109,"Splatoon 2","$5,360.00","0 Players","3 Tournaments",2018
110,"Minecraft","$4,839.15","10 Players","3 Tournaments",2018
111,"Black Squad","$4,470.29","52 Players","15 Tournaments",2018
112,"Company of Heroes 2","$4,400.00","8 Players","1 Tournament",2018
113,"Mortal Kombat XL","$4,120.00","11 Players","2 Tournaments",2018
114,"Faeria","$4,100.00","12 Players","5 Tournaments",2018
115,"Age of Empires III","$3,750.00","22 Players","16 Tournaments",2018
116,"Super Smash Bros. Brawl","$3,613.19","23 Players","9 Tournaments",2018
117,"Mortal Kombat 9","$3,260.00","8 Players","1 Tournament",2018
118,"Pokkén Tournament DX","$3,181.40","16 Players","8 Tournaments",2018
119,"Super Street Fighter II Turbo","$2,947.53","23 Players","7 Tournaments",2018
120,"NHL 19","$2,866.67","5 Players","2 Tournaments",2018
121,"Skullgirls 2nd Encore","$2,801.00","8 Players","3 Tournaments",2018
122,"Mystery Game Tournament","$2,560.00","15 Players","2 Tournaments",2018
123,"Vampire Savior","$2,170.00","12 Players","4 Tournaments",2018
124,"Street Fighter III: 3rd Strike","$1,950.00","16 Players","4 Tournaments",2018
125,"Sailor Moon S","$1,646.06","10 Players","4 Tournaments",2018
126,"Age of Mythology","$1,637.72","31 Players","12 Tournaments",2018
127,"Melty Blood: Actress Again Current Code","$1,630.00","15 Players","4 Tournaments",2018
128,"Tetris","$1,575.00","4 Players","2 Tournaments",2018
129,"Age of Empires Online","$1,448.00","8 Players","3 Tournaments",2018
130,"Fighting EX Layer","$1,260.00","9 Players","4 Tournaments",2018
131,"Ultimate Marvel vs. Capcom 3","$1,160.00","5 Players","2 Tournaments",2018
132,"QuakeWorld","$1,042.22","7 Players","3 Tournaments",2018
133,"Guilty Gear XX Accent Core Plus R","$930.00","8 Players","3 Tournaments",2018
