"Rank","Country","Total_Earnings","Number_of_Players","Top_Game","Earnings_From_Top_Game","Percent_From_Top_Game"
1,"China","$318,962,329.26","9,008 Players","Dota 2","$85,673,773.44","26.86%"
2,"United States","$286,747,591.58","27,993 Players","Fortnite","$49,472,179.53","17.25%"
3,"Korea","$151,365,596.71","5,882 Players","League of Legends","$38,839,646.79","25.66%"
4,"Russian Federation","$87,216,543.27","5,485 Players","Dota 2","$37,686,618.85","43.21%"
5,"Brazil","$66,993,202.97","5,479 Players","Rainbow Six Siege","$12,534,096.39","18.71%"
6,"Denmark","$61,337,243.58","2,123 Players","Counter-Strike: Global Offensive","$23,081,252.63","37.63%"
7,"France","$57,850,219.19","6,273 Players","Counter-Strike: Global Offensive","$9,837,046.88","17.00%"
8,"Sweden","$56,343,349.80","3,291 Players","Dota 2","$18,620,650.13","33.05%"
9,"Germany","$51,163,541.95","6,596 Players","Dota 2","$11,546,494.33","22.57%"
10,"Canada","$48,823,696.77","4,147 Players","Fortnite","$8,673,609.96","17.77%"
11,"United Kingdom","$46,581,813.30","5,364 Players","Fortnite","$8,334,881.86","17.89%"
12,"Japan","$38,966,619.40","3,728 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$5,800,971.79","14.89%"
13,"Ukraine","$37,656,032.53","1,608 Players","Dota 2","$22,515,154.66","59.79%"
14,"Finland","$33,350,976.15","2,145 Players","Dota 2","$17,473,145.63","52.39%"
15,"Australia","$32,260,704.85","4,198 Players","Dota 2","$8,037,226.70","24.91%"
16,"Thailand","$30,219,666.41","2,206 Players","Arena of Valor","$7,319,551.96","24.22%"
17,"Poland","$29,985,071.43","2,950 Players","Counter-Strike: Global Offensive","$8,378,847.80","27.94%"
18,"Philippines","$23,817,887.88","1,862 Players","Dota 2","$11,682,316.99","49.05%"
19,"Malaysia","$22,447,841.35","1,690 Players","Dota 2","$14,136,681.97","62.98%"
20,"Taiwan, Republic of China","$22,122,197.32","1,692 Players","League of Legends","$5,624,060.95","25.42%"
21,"Indonesia","$19,592,330.41","2,596 Players","Free Fire","$4,298,276.21","21.94%"
22,"Viet Nam","$18,346,825.22","2,680 Players","Arena of Valor","$5,040,274.48","27.47%"
23,"Netherlands","$18,056,633.08","2,155 Players","Fortnite","$3,497,884.35","19.37%"
24,"Spain","$15,037,535.23","2,677 Players","Counter-Strike: Global Offensive","$1,410,344.76","9.38%"
25,"Turkey","$13,506,972.52","1,675 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$3,721,651.81","27.55%"
26,"Saudi Arabia","$13,458,998.17","1,267 Players","Rocket League","$2,955,239.03","21.96%"
27,"Norway","$13,458,915.20","1,351 Players","Fortnite","$3,278,839.04","24.36%"
28,"Argentina","$10,174,936.24","1,451 Players","Fortnite","$2,453,512.03","24.11%"
29,"Bulgaria","$10,020,445.28","424 Players","Dota 2","$5,760,568.12","57.49%"
30,"Mexico","$9,764,011.52","1,466 Players","Fortnite","$1,767,047.13","18.10%"
31,"Jordan","$9,366,435.25","152 Players","Dota 2","$8,313,224.98","88.76%"
32,"Peru","$9,329,302.50","705 Players","Dota 2","$7,853,846.28","84.18%"
33,"Israel","$9,198,962.60","286 Players","Dota 2","$6,172,399.99","67.10%"
34,"Italy","$7,996,901.71","1,641 Players","StarCraft II","$844,718.92","10.56%"
35,"Singapore","$7,629,198.53","1,196 Players","Dota 2","$2,730,185.08","35.79%"
